Hotel_Name,Location,Address,Cost,Property_type,Likes,Rating,Review
Casa Del Amor - VI,Victoria Island,"Victoria Island, Lagos - Oniru, Victoria Island",20000,Apartment,268,NA,NA
Kitex Place ,Lekki Phase 1,"Lekki Phase 1, Lagos - No. 45 Jay Jay Oladimeji Off Freedom Way, Lekki Ph...",100000,Apartment,38,NA,NA
Ibis Lagos Airport,Ajao Estate,"Ajao Estate, Lagos - 35/37 Murtala Mohamed Intl Airport Road",30000,Hotel,31079,NA,NA
Adun Suites,Gbagada ,"Gbagada , Lagos - 9, Igbeyinadun Street Off Oguntona Crescent, Charl...",25000,Hotel,107,NA,NA
Hotel Ibis Lagos Ikeja,Ikeja,"Ikeja, Lagos - 23 Toyin Street, Ikeja, Lagos",41000,Hotel,25215,NA,NA
"The Cocoon Luxury Suites, Ogudu",Ogudu,"Ogudu, Lagos - 2B, Adebayo Ogunrombi Close Off Ogudu Road, Ogudu",25000,Hotel,120,NA,NA
"The Moorhouse Hotel, Ikoyi",Ikoyi,"Ikoyi, Lagos - 1 Bankole Oki Street",56000,Luxury Hotel,1234,7.2 Very Good,From 2 reviews
Beni Apartments,Victoria Island,"Victoria Island, Lagos - Plot 37 Ahmed Onibudo Street Off Adeola Hopewell",17000,Hotel,15338,7.4 Very Good,From 145 reviews
Beni Hotels,Lagos Island,"Lagos Island, Lagos - 11/13 Wimo Onatere Street, Off Broad Street",12000,Hotel,11051,7.3 Very Good,From 61 reviews
The Agore Hotels Ltd (Formerly Nowoola Palace Hotels And Suites), Ibeju Lekki," Ibeju Lekki, Lagos -  5, Nancy Nowoola Street, Behind Uba Pharmacy, Awo...",12500,Hotel,436,NA,NA
Choice Suites (Formerly Chantella Suites),Ikeja,"Ikeja, Lagos - 3B, Allen Lane, Off Allen Avenue, Behind KFC, By D...",13000,Budget Hotel,10376,7.4 Very Good,From 40 reviews
Extended Stay Grand Hotel,Lekki Phase 1,"Lekki Phase 1, Lagos - 21 Oladimeji Alo, Off Freedom Way Beside Canadian ...",20000,Hotel,8817,7.7 Very Good,From 40 reviews
Axor Hotels And Suites,Lekki,"Lekki, Lagos - Plot 16/17 Sule Olusesi Road, Beside Conservation ...",23000,Boutique Hotel,2227,NA,NA
Beni Gold Hotel And Apartments,Victoria Island,"Victoria Island, Lagos - 18 Adeleke Adedoyin Off Kofo Abayomi, Victoria-Isl...",30000,Hotel,17663,7.8 Very Good,From 351 reviews
The Cocoon Luxury Suites Ilupeju,Ilupeju,"Ilupeju, Lagos - 16 Aina George Street, Off Coker Road, Ilupeju",18000,Hotel,2662,NA,NA
Presken Hotel And Suites (Mojidi),Ikeja,"Ikeja, Lagos - 14/16 Mojidi Street, Off Toyin Street  POBox 14603...",20000,Hotel,5138,7.0 Very Good,From 23 reviews
Whispering Palms Resort,Badagry,"Badagry, Lagos - Iworo",27000,Resort,2604,NA,NA
DEMEG HOTEL AND SUITES,Ipaja,"Ipaja, Lagos - 2/2B Bola Sanyaolu Close, Akinyele Bustop, Ipaja",14500,Hotel,134,NA,NA
Double M Exquisite Suites And Lounge,Lekki,"Lekki, Lagos -  9 Kazeem Abogun St, Off New Road Alpha Beach, Lek...",25000,Hotel,3873,NA,NA
Perfect View Hotels Ltd (Formerly La Bugatti Suite Limited),Victoria Island,"Victoria Island, Lagos - 204B, Etim Inyang Crecsent",10000,Hotel,1991,6.7 Very Good,From 29 reviews
Demiral Hotel At The Place Lekki,Lekki,"Lekki, Lagos - Plot 38 Block 10 Beside Fun Factory Admiralty Way",20000,Hotel,5454,7.2 Very Good,From 30 reviews
Integrity Hotel And Suites, Victoria Island," Victoria Island, Lagos - 17, Agbagbon Close Off Ologun Agbaje Street, Off A...",15999,Hotel,6682,6.3 Very Good,From 29 reviews
CitiHeight Hotel,Ikeja,"Ikeja, Lagos - No. 6 Sheraton-Opebi Link Road",26500,Hotel,4970,NA,NA
Eko Hotel ,Victoria Island,"Victoria Island, Lagos - 1415 Adetokunbo Ademola Street",67000,Luxury Hotel,5173,7.5 Very Good,From 35 reviews
Presken Hotel And Suites (Awolowo),Ikeja,"Ikeja, Lagos - 131 Obafemi Awolowo Way By Allen Avenue Round Abou...",20000,Budget Hotel,4650,7.3 Very Good,From 24 reviews
Presken Hotel And Suites (GRA),Ikeja,"Ikeja, Lagos - 6, Remi Fani Kayode Avenue, G.R.A, Ikeja , Off Oba...",25000,Hotel,6155,NA,NA
Jeromes Garden And Suites,Ikeja,"Ikeja, Lagos - 29, Oroleye Crescent, Off Abel Oreniyi Street, Off...",16000,Hotel,9459,NA,NA
Vintage Suites,Surulere,"Surulere, Lagos - 15c, Akinhanmi Street, Off Funsho Williams Avenue,...",10000,Budget Hotel,3402,7.3 Very Good,From 25 reviews
Dmatel Hotel And Resort ,Lekki,"Lekki, Lagos - 10 Agungi Road, Ajiran Off Lekki Expressway",20000,Budget Hotel,4236,7.1 Very Good,From 68 reviews
BTT HOMES,Lekki Phase 1,"Lekki Phase 1, Lagos - Plot 36 Adebisi Ogunniyi Crescent. Off Visa Office...",30000,Hotel,2329,7.9 Very Good,From 12 reviews
Handsworth Hotel Limited,Ajah,"Ajah, Lagos - 7/8 Young Arabamen Street Farm  Bus-stop Sangotedo...",11500,Hotel,2184,6.3 Very Good,From 34 reviews
Lagos Oriental Hotel,Victoria Island,"Victoria Island, Lagos -  3 Lekki Road",92000,Luxury Hotel,3860,NA,NA
Swiss Cottage Suites,Ikeja ,"Ikeja , Lagos -  18 Sunday Adigun Street Alausa Ikeja( Adjacent To...",17500,Hotel,4535,NA,NA
"The Cocoon Luxury Suites, Gbagada",Gbagada,"Gbagada, Lagos - 6, Oguntona Crescent, Gbagada Phase 1 ",20000,Budget Hotel,2724,NA,NA
Atlantic Palms Suites,Lekki,"Lekki, Lagos - 1, Abolakale Arikawe Drive, Off Alpha Beach New Ro...",20000,Budget Hotel,2032,7.6 Very Good,From 13 reviews
Deke Hotel,Yaba,"Yaba, Lagos - Plot 79 Karimu Kotun Oyadiran Estate Sabo",5500,Hotel,3719,6.0 Very Good,From 78 reviews
KnightsBridge Hotel,Ikeja,"Ikeja, Lagos - 9 Emina Crescent Off Toyin Street ",12750,Hotel,2467,7.7 Very Good,From 34 reviews
Unilag Guest House,Yaba,"Yaba, Lagos - University Of Lagos Akoka ",15000,Guest House,5820,6.0 Very Good,From 43 reviews
Presken Hotel And Suites (Airport),Oshodi,"Oshodi, Lagos - 50, International Airport Road, Ajao Estate Bussto...",25000,Hotel,2350,NA,NA
Cosmic Guest House,Ikeja,"Ikeja, Lagos - 36a Olu-Akerele Street Balogun Bus Stop. Off Awolo...",5000,Guest House,3360,NA,NA
Eastgate Lekki,Lekki,"Lekki, Lagos - 4, Dreamworld Africana Way Olugborogan Olusesi, Ch...",24500,Hotel,3280,7.2 Very Good,From 23 reviews
Pearlwort Hotel And Suites,Ikeja,"Ikeja, Lagos -  Plot 7, Impressive Close, Off L.J. Dosunmu Street...",32000,Hotel,1546,7.0 Very Good,From 6 reviews
Zeina Suites,Lekki,"Lekki, Lagos - 1, General Ogumodia Boulavard, Lekki Phase 1, Lekk...",20000,Hotel,1332,7.1 Very Good,From 13 reviews
Villa Angelia Hotel,Ikoyi,"Ikoyi, Lagos - 2/7 Okunla Martins Close Off Okotie Eboh Street Of...",18000,Hotel,3367,7.7 Very Good,From 14 reviews
D'Island Hotel ,Ajah,"Ajah, Lagos - 80, Addo Road Ajah, Akins Bus-Stop, Lekki-Ajah",7000,Hotel,562,7.8 Very Good,From 12 reviews
Silver Grandeur Hotel,Ajao Estate,"Ajao Estate, Lagos - No. 4 Abgor Close Off Osolo Way.",9800,Hotel,8391,7.7 Very Good,From 125 reviews
Lagos Airport Hotel,Ikeja,"Ikeja, Lagos - 111 Obafemi Awolowo Way Ikeja",28000,Hotel,3430,6.3 Very Good,From 46 reviews
Preserve Apartment And Suite,Lekki Phase 1,"Lekki Phase 1, Lagos - 14, Babatunde Dabiri Street",20000,Hotel,2212,7.7 Very Good,From 18 reviews
Hotel Bon Voyage,Victoria Island,"Victoria Island, Lagos - 57A, Marinho Drive, Off Ajose Adeogun Street",35000,Luxury Hotel,3367,NA,NA
Villa Angelia Victoria Island ,Victoria Island,"Victoria Island, Lagos - 20 Oju Olobun Street, Off Bishop Oluwole Street, V...",25000,Hotel,4457,7.2 Very Good,From 44 reviews
City View Hotel Ltd.,Ikeja,"Ikeja, Lagos - 1 Taiwo Close Off Kudirat Abiola Way Oregun",9200,Hotel,3920,7.2 Very Good,From 39 reviews
Easy Homes Hotels,Surulere,"Surulere, Lagos - 33 Eric Moore Close Off Eric Moore Road",12000,Budget Hotel,2013,7.0 Very Good,From 24 reviews
Peaceland Hotels Limited,Yaba ,"Yaba , Lagos - 1 Tokunboh Street, Sabo, Yaba. ",9000,Hotel,1189,7.2 Very Good,From 12 reviews
Temple Cottage Hotel,Victoria Island,"Victoria Island, Lagos - Plot 323 Akin Ogunlewe Street Victoria Island Lago...",30500,Hotel,739,NA,NA
The Blowfish Hotel,Victoria Island,"Victoria Island, Lagos - No. 20 Oju Olobun Street, Off Idejo Street, Victor...",60000,Boutique Hotel,2591,NA,NA
"Msquare Hotel, Ikeja",Ikeja,"Ikeja, Lagos - 34B Remi Fani Kayode Avenue, GRA",21500,Hotel,3916,NA,NA
Kings Celia Hotel And Suite,Yaba,"Yaba, Lagos - No 8 Jibowu Street ",25000,Hotel,1485,NA,NA
Lantano Cottage,Ikeja,"Ikeja, Lagos - 4, Oduduwa Crescent GRA Ikeja.",15000,Hotel,2452,NA,NA
TheoDawn Hotels( Formerly Suite 29),Ikeja,"Ikeja, Lagos - 29 Oluwaleyimu Street Off Allen Avenue",11000,Hotel,2126,6.6 Very Good,From 14 reviews
Pelican International Hotel,Lekki,"Lekki, Lagos - By Chevron Roundabout, Chevy Estate, Lekki Lagos",15000,Hotel,1918,7.8 Very Good,From 25 reviews
MarcoPolo Hotel ,Lekki,"Lekki, Lagos - 4, Yeni Crescent, Chevy View Estate, Opposite Chev...",30000,Hotel,1310,7.6 Very Good,From 6 reviews
Coronia Hotel,Ajao Estate,"Ajao Estate, Lagos - No 2 In A Jegede Close Ajao Estate Lagos",25000,Hotel,1483,7.2 Very Good,From 6 reviews
Festival Hotel Festac Lagos (Formerly Golden Tulip Festac Lagos),Festac,"Festac, Lagos - Amuwo Odofin Mile 2 Lagos, P.M.B 031",27200,Hotel,1723,7.9 Very Good,From 24 reviews
